"ReportType","AnomalyType","Site","ItemNumber","ItemDescription","ItemType","Supplier","SupplierName","ScheduleNumber","ScheduleLine","PONumber","POLine","Metric1Label","Metric1Value","Metric2Label","Metric2Value","Metric3Label","Metric3Value","EarliestDate","LatestDate","Action"
"SUMMARY","ANOMALY_SUMMARY","","","","","","","","","","","IssueCount","253","","","","","","",""
"SUMMARY","ANOMALY_SUMMARY","","","","","","","","","","","IssueCount","7","","","","","","",""
"SUMMARY","ANOMALY_SUMMARY","","","","","","","","","","","IssueCount","25","","","","","","",""
"SUMMARY","ANOMALY_SUMMARY","","","","","","","","","","","IssueCount","622","","","","","","",""
"SUMMARY","ANOMALY_SUMMARY","","","","","","","","","","","IssueCount","16","","","","","","",""
"ISSUE","DUPLICATE_PO_LINES","2798","1810953-N_I","ID LBL 30 RP","RM","","","","","","","ActivePOLineCount","2","POLines","55103670/2, 55110720/2","Suppliers","338441, 338441","","","Review and close duplicate PO lines or clarify supplier preference"
"ISSUE","DUPLICATE_PO_LINES","2798","1810953-N_O","ID LBL 30 RP","RM","","","","","","","ActivePOLineCount","2","POLines","55103670/1, 55110757/2","Suppliers","338441, 338441","","","Review and close duplicate PO lines or clarify supplier preference"
"ISSUE","DUPLICATE_PO_LINES","2798","3634148-N_N","ELASTIC STRIP 19 RP","RM","","","","","","","ActivePOLineCount","2","POLines","55110665/1, 55110833/1","Suppliers","322402, 407410","","","Review and close duplicate PO lines or clarify supplier preference"
"ISSUE","DUPLICATE_PO_LINES","2798","5072768-N_L","ARROW RTNR 90","RM","","","","","","","ActivePOLineCount","2","POLines","55103526/18, 55104117/10","Suppliers","320907, 320907","","","Review and close duplicate PO lines or clarify supplier preference"
"ISSUE","DUPLICATE_PO_LINES","2798","5171472-1M_O","THD 20/3 161TEX","RM","","","","","","","ActivePOLineCount","2","POLines","55103542/1, 55110759/3","Suppliers","300179, 300179","","","Review and close duplicate PO lines or clarify supplier preference"
"ISSUE","DUPLICATE_PO_LINES","2798","5350188-1800QZ_O","MODENE F2 D28 CKS G30","RM","","","","","","","ActivePOLineCount","2","POLines","55103343/1, 55110749/5","Suppliers","300216, 300216","","","Review and close duplicate PO lines or clarify supplier preference"
"ISSUE","DUPLICATE_PO_LINES","2798","6748313-N_L","ARROW RTNR 245","RM","","","","","","","ActivePOLineCount","2","POLines","55103526/17, 55104117/12","Suppliers","320907, 320907","","","Review and close duplicate PO lines or clarify supplier preference"
"ISSUE","EXCESSIVE_SAFETY_STOCK","2798","2577738","METAL PIN SPRING","RM","368067","","","","","","WeeksOfCoverage","307.100000","SafetyStock","153557","AvgWeeklyQty","500.0000000000","","","Review and reduce safety stock if excessive"
"ISSUE","EXCESSIVE_SAFETY_STOCK","2798","2688450","FOAM SIDEBOLSTER LH V542","RM","2189","","","","","","WeeksOfCoverage","160.000000","SafetyStock","160","AvgWeeklyQty","1.0000000000","","","Review and reduce safety stock if excessive"
"ISSUE","EXCESSIVE_SAFETY_STOCK","2798","2690843","FOAM SIDEBOLSTER RH V542","RM","2189","","","","","","WeeksOfCoverage","239.500000","SafetyStock","612","AvgWeeklyQty","2.5555555555","","","Review and reduce safety stock if excessive"
"ISSUE","EXCESSIVE_SAFETY_STOCK","2798","2944383-CHAC","AR CPL VINYL W CUPHOLDER","No BOM","","","","","","","WeeksOfCoverage","174.200000","SafetyStock","300","AvgWeeklyQty","1.7222222222","","","Review and reduce safety stock if excessive"
"ISSUE","EXCESSIVE_SAFETY_STOCK","2798","3500057","CUPHOLDER BOX WITH RUBBE","No BOM","","","","","","","WeeksOfCoverage","38.500000","SafetyStock","100","AvgWeeklyQty","2.6000000000","","","Review and reduce safety stock if excessive"
"ISSUE","EXCESSIVE_SAFETY_STOCK","2798","3722392-52","PA SBP","FG","","","","","","","WeeksOfCoverage","17.500000","SafetyStock","7000","AvgWeeklyQty","400.0000000000","","","Review and reduce safety stock if excessive"
"ISSUE","EXCESSIVE_SAFETY_STOCK","2798","5176299-CHAC","COVER BEZEL","No BOM","","","","","","","WeeksOfCoverage","686.800000","SafetyStock","2800","AvgWeeklyQty","4.0769230769","","","Review and reduce safety stock if excessive"
"ISSUE","EXCESSIVE_SAFETY_STOCK","2798","5319159-CHAC","CUPHOLDER COVER","No BOM","394112","","","","","","WeeksOfCoverage","370.100000","SafetyStock","5164","AvgWeeklyQty","13.9527027027","","","Review and reduce safety stock if excessive"
"ISSUE","EXCESSIVE_SAFETY_STOCK","2798","5353191-Q4","TA.SC VEL FB RH","FG","","","","","","","WeeksOfCoverage","29.100000","SafetyStock","100","AvgWeeklyQty","3.4415584415","","","Review and reduce safety stock if excessive"
"ISSUE","EXCESSIVE_SAFETY_STOCK","2798","5353192-20","TA.SC VEL FB RH","FG","","","","","","","WeeksOfCoverage","75.300000","SafetyStock","2000","AvgWeeklyQty","26.5566037735","","","Review and reduce safety stock if excessive"
"ISSUE","EXCESSIVE_SAFETY_STOCK","2798","5353194-10","TA.SC LTH FB RH","FG","","","","","","","WeeksOfCoverage","30.300000","SafetyStock","100","AvgWeeklyQty","3.3004291845","","","Review and reduce safety stock if excessive"
"ISSUE","EXCESSIVE_SAFETY_STOCK","2798","5353296-Q4","TA.SC VEL FB LH","FG","","","","","","","WeeksOfCoverage","20.500000","SafetyStock","100","AvgWeeklyQty","4.8757396449","","","Review and reduce safety stock if excessive"
"ISSUE","EXCESSIVE_SAFETY_STOCK","2798","5363916-10","TA.SC LTH FC","FG","","","","","","","WeeksOfCoverage","25.600000","SafetyStock","100","AvgWeeklyQty","3.9085714285","","","Review and reduce safety stock if excessive"
"ISSUE","EXCESSIVE_SAFETY_STOCK","2798","5364025-10","TA.SC LTH FB RH","FG","","","","","","","WeeksOfCoverage","20.000000","SafetyStock","100","AvgWeeklyQty","5.0000000000","","","Review and reduce safety stock if excessive"
"ISSUE","EXCESSIVE_SAFETY_STOCK","2798","5364045-10","TA.SC LTH FB LH","FG","","","","","","","WeeksOfCoverage","31.000000","SafetyStock","100","AvgWeeklyQty","3.2307692307","","","Review and reduce safety stock if excessive"
"ISSUE","EXCESSIVE_SAFETY_STOCK","2798","6558990-GRAT","RARM Textile Graphite","No BOM","","","","","","","WeeksOfCoverage","100.000000","SafetyStock","100","AvgWeeklyQty","1.0000000000","","","Review and reduce safety stock if excessive"
"ISSUE","MISSING_PO_LINE","2798","1831345-1120-270","CRDBD/VMESNI KARTON","RM","","","","","","","ItemSource","Component","","","","","","","Create active PO line for this component or adjust BOM/schedule if obsolete"
"ISSUE","MISSING_PO_LINE","2798","1831345-1130-720-5","CRDBD/VMESNI KARTON","RM","","","","","","","ItemSource","Component","","","","","","","Create active PO line for this component or adjust BOM/schedule if obsolete"
"ISSUE","MISSING_PO_LINE","2798","1831345-270-440","CRDBD/VMESNI KARTON","RM","","","","","","","ItemSource","Component","","","","","","","Create active PO line for this component or adjust BOM/schedule if obsolete"
"ISSUE","MISSING_PO_LINE","2798","1831345-720-80Z","CRDBD/VMESNI KARTON","RM","","","","","","","ItemSource","Component","","","","","","","Create active PO line for this component or adjust BOM/schedule if obsolete"
"ISSUE","MISSING_PO_LINE","2798","1831345-800-720","CRDBD/VMESNI KARTON","RM","","","","","","","ItemSource","Component","","","","","","","Create active PO line for this component or adjust BOM/schedule if obsolete"
"ISSUE","MISSING_PO_LINE","2798","3014886-1800WB_N","SIGMA F5-D28 CKS-G35","RM","370144","","","","","","ItemSource","Component","","","","","","","Create active PO line for this component or adjust BOM/schedule if obsolete"
"ISSUE","MISSING_PO_LINE","2798","4082754-180024_WR","OSAKA F8-D28 CKS-G38","RM","","","","","","","ItemSource","Component","","","","","","","Create active PO line for this component or adjust BOM/schedule if obsolete"
"ISSUE","MISSING_PO_LINE","2798","4082763-180024_WR","OSAKA F4-D28 CKS-G38","RM","","","","","","","ItemSource","Component","","","","","","","Create active PO line for this component or adjust BOM/schedule if obsolete"
"ISSUE","MISSING_PO_LINE","2798","4082766-180024_WR","OSAKA F2-D28 CKS-G38","RM","","","","","","","ItemSource","Component","","","","","","","Create active PO line for this component or adjust BOM/schedule if obsolete"
"ISSUE","MISSING_PO_LINE","2798","4082770-180024_WR","OSAKA F1-D28 CKS-G38","RM","","","","","","","ItemSource","Component","","","","","","","Create active PO line for this component or adjust BOM/schedule if obsolete"
"ISSUE","MISSING_PO_LINE","2798","5998749","FRONT PLATE FHR","RM","","","","","","","ItemSource","Component","","","","","","","Create active PO line for this component or adjust BOM/schedule if obsolete"
"ISSUE","MISSING_PO_LINE","2798","5998751","SPEAKER CLOSING COVER","RM","","","","","","","ItemSource","Component","","","","","","","Create active PO line for this component or adjust BOM/schedule if obsolete"
"ISSUE","MISSING_PO_LINE","2798","5998755","HOUSING FHR FIX","RM","","","","","","","ItemSource","Component","","","","","","","Create active PO line for this component or adjust BOM/schedule if obsolete"
"ISSUE","MISSING_PO_LINE","2798","5998756","VOLVO SPA3 FIXED LH","RM","","","","","","","ItemSource","Component","","","","","","","Create active PO line for this component or adjust BOM/schedule if obsolete"
"ISSUE","MISSING_PO_LINE","2798","5998758","VOLVO SPA3 FIXED RH","RM","","","","","","","ItemSource","Component","","","","","","","Create active PO line for this component or adjust BOM/schedule if obsolete"
"ISSUE","MISSING_PO_LINE","2798","5998760","REAR COVER FIX FHR","RM","","","","","","","ItemSource","Component","","","","","","","Create active PO line for this component or adjust BOM/schedule if obsolete"
"ISSUE","MISSING_PO_LINE","2798","6094591","FRONT PLATE ROHR SPEAKER","RM","","","","","","","ItemSource","Component","","","","","","","Create active PO line for this component or adjust BOM/schedule if obsolete"
"ISSUE","MISSING_PO_LINE","2798","6094594","SPEAKER CLOSING COV ROHR","RM","","","","","","","ItemSource","Component","","","","","","","Create active PO line for this component or adjust BOM/schedule if obsolete"
"ISSUE","MISSING_PO_LINE","2798","6094596","HOUSING ROHR SPEAKER","RM","","","","","","","ItemSource","Component","","","","","","","Create active PO line for this component or adjust BOM/schedule if obsolete"
"ISSUE","MISSING_PO_LINE","2798","6154814","CUT FOAM LH BOLSTER","RM","","","","","","","ItemSource","Component","","","","","","","Create active PO line for this component or adjust BOM/schedule if obsolete"
"ISSUE","MISSING_PO_LINE","2798","6154825","CUT FOAM RH BOLSTER","RM","","","","","","","ItemSource","Component","","","","","","","Create active PO line for this component or adjust BOM/schedule if obsolete"
"ISSUE","MISSING_PO_LINE","2798","6210818","CardB panel 1130x720x5","RM","0","","","","","","ItemSource","Component","","","","","","","Create active PO line for this component or adjust BOM/schedule if obsolete"
"ISSUE","MISSING_PO_LINE","2798","6211409","Carton Tape 1130x85x2","RM","","","","","","","ItemSource","Component","","","","","","","Create active PO line for this component or adjust BOM/schedule if obsolete"
"ISSUE","MISSING_PO_LINE","2798","7066717","Foam KOR","RM","0","","","","","","ItemSource","Component","","","","","","","Create active PO line for this component or adjust BOM/schedule if obsolete"
"ISSUE","MISSING_PO_LINE","2798","7149787","Foam KOR","RM","0","","","","","","ItemSource","Component","","","","","","","Create active PO line for this component or adjust BOM/schedule if obsolete"
"ISSUE","ORPHANED_SCHEDULE","2798","2579523-CHAC","VCC V526 REAR SEAT OUTER","No BOM","","","SO10008","35","","","TotalScheduledQty","82.0000000000","","","","","05/01/2026 00:00:00","23/01/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","2636396-BLCH","VCC V526 RSEAT OUTER HR","FG","","","SO10005","7","","","TotalScheduledQty","22.0000000000","","","","","06/04/2026 00:00:00","20/04/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","2636396-BLON","VCC V526 RSEAT OUTER HR","FG","2109","","SO10005","8","","","TotalScheduledQty","817433.0000000000","","","","","10/12/2025 00:00:00","23/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","2636396-CHAC","VCC V526 RSEAT OUTER HR","FG","2109","","SO10005","9","","","TotalScheduledQty","2035487.0000000000","","","","","10/12/2025 00:00:00","23/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","2775139","ROD","No BOM","","","SO10008","132","","","TotalScheduledQty","1120.0000000000","","","","","06/04/2026 00:00:00","27/04/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","2931961-BLON","COVER BEZEL","No BOM","2798","","SO10008","110","","","TotalScheduledQty","16.0000000000","","","","","02/03/2026 00:00:00","02/03/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","2931961-CHAC","COVER BEZEL","No BOM","","","SO10008","109","","","TotalScheduledQty","1025.0000000000","","","","","14/01/2026 00:00:00","26/10/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","3122321-BLOND","FRAME WORK HR P5","No BOM","","","SO10004","51","","","TotalScheduledQty","2700.0000000000","","","","","06/04/2026 00:00:00","27/04/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","3122321-CHARCOAL","FRAME WORK HR P5","No BOM","","","SO10004","52","","","TotalScheduledQty","22340.0000000000","","","","","02/02/2026 00:00:00","27/04/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","3124259-MARO","VCC V54X FRONT SEAT FIX","No BOM","2798","","SO10008","138","","","TotalScheduledQty","25.0000000000","","","","","04/05/2026 00:00:00","04/05/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","3175227-MARO","VCC V526 Front Seat Fix","No BOM","2109","","SO10008","77","","","TotalScheduledQty","41.0000000000","","","","","05/01/2026 00:00:00","06/07/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","3175231-BLON","VCC V526 Front Seat Fix","No BOM","2798","","SO10008","56","","","TotalScheduledQty","40.0000000000","","","","","06/04/2026 00:00:00","06/07/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","3357452-BLCH","V526 REAR OUTER HREST","FG","2109","","SO10005","36","","","TotalScheduledQty","5.0000000000","","","","","02/02/2026 00:00:00","02/02/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","3357452-BLON","V526 REAR OUTER HREST","FG","2109","","SO10005","37","","","TotalScheduledQty","817557.0000000000","","","","","10/12/2025 00:00:00","23/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","3357452-CHAC","V526 REAR OUTER HREST","FG","2109","","SO10005","38","","","TotalScheduledQty","2034206.0000000000","","","","","10/12/2025 00:00:00","23/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","3454818-AZE","ARM ASSY RSB","FG","2165","","SO10013","1","","","TotalScheduledQty","128330.0000000000","","","","","15/12/2025 00:00:00","16/03/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","3526958-CHAC","PUSH CUPHOLDER WO COVER","No BOM","","","SO10008","180","","","TotalScheduledQty","1900.0000000000","","","","","05/01/2026 00:00:00","23/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","3765578-AZG","ARM 5DR VINYL BLACK","FG","2165","","SO10013","2","","","TotalScheduledQty","103281.0000000000","","","","","15/12/2025 00:00:00","16/03/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","3923209-AZG","ARM WGN VINYL","FG","2165","","SO10013","3","","","TotalScheduledQty","5204.0000000000","","","","","15/12/2025 00:00:00","02/03/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","3947840-8U00-PUR","FHR 4W Trim Cover","FG","","","SO10006","196","","","TotalScheduledQty","4968.0000000000","","","","","12/01/2026 00:00:00","27/07/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","3947840-9E38-PUR","FHR 4W Trim Cover","FG","","","SO10006","197","","","TotalScheduledQty","8920.0000000000","","","","","12/01/2026 00:00:00","27/07/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","3947845-8U01-PUR","ROHR Trim Cover","FG","","","SO10006","1","","","TotalScheduledQty","1480.0000000000","","","","","05/01/2026 00:00:00","23/02/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","3947845-8W51-PUR","ROHR Trim Cover","FG","","","SO10006","52","","","TotalScheduledQty","17928.0000000000","","","","","15/12/2025 00:00:00","30/03/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","3947845-9D88-PUR","ROHR Trim Cover","FG","","","SO10006","53","","","TotalScheduledQty","1960.0000000000","","","","","05/01/2026 00:00:00","23/02/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","3947846-8AN0-PUR","ROHR TRIM CVR VNYL","FG","","","SO10006","169","","","TotalScheduledQty","1453.0000000000","","","","","02/03/2026 00:00:00","26/04/2027 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","3947846-8U46-PUR","ROHR Trim Cover","FG","","","SO10006","4","","","TotalScheduledQty","9080.0000000000","","","","","12/12/2025 00:00:00","26/04/2027 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","3947846-8V98-PUR","ROHR Trim Cover","FG","","","SO10006","5","","","TotalScheduledQty","3880.0000000000","","","","","12/12/2025 00:00:00","23/02/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","3947846-9K21-PUR","ROHR Trim Cover","FG","","","SO10006","6","","","TotalScheduledQty","13760.0000000000","","","","","05/01/2026 00:00:00","26/04/2027 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","3947847-8U01-PUR","Trim Cover FES EL BR223","FG","","","SO10006","7","","","TotalScheduledQty","684.0000000000","","","","","05/01/2026 00:00:00","23/02/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","3947847-8W51-PUR","Trim Cover FES EL BR223","FG","","","SO10006","8","","","TotalScheduledQty","108.0000000000","","","","","12/01/2026 00:00:00","12/01/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","3947847-9D88-PUR","Trim Cover FES EL BR223","FG","","","SO10006","9","","","TotalScheduledQty","2340.0000000000","","","","","05/01/2026 00:00:00","23/02/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","3947849-1C92-PUR","BR223 Trim FES ELwPillow","FG","","","SO10006","10","","","TotalScheduledQty","2556.0000000000","","","","","12/12/2025 00:00:00","29/03/2027 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","3947849-1D14-PUR","Trim Cov FES EL wPillow","FG","","","SO10006","11","","","TotalScheduledQty","1368.0000000000","","","","","03/08/2026 00:00:00","29/03/2027 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","3947849-3F10-PUR","Trim Cov FES EL wPillow","FG","","","SO10006","13","","","TotalScheduledQty","756.0000000000","","","","","12/12/2025 00:00:00","30/03/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","3947849-5F35-PUR","Trim Cov FES EL wPillow","FG","","","SO10006","14","","","TotalScheduledQty","216.0000000000","","","","","12/12/2025 00:00:00","19/01/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","3947849-7R12-PUR","Trim Cov FES EL wPillow","FG","","","SO10006","15","","","TotalScheduledQty","432.0000000000","","","","","05/01/2026 00:00:00","23/02/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","3947849-7S15-PUR","BR223 Trim FES ELwPillow","FG","","","SO10006","173","","","TotalScheduledQty","151.0000000000","","","","","12/12/2025 00:00:00","27/07/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","3947849-8AN0-PUR","BR223 Trim FES ELwPillow","FG","","","SO10006","174","","","TotalScheduledQty","11062.0000000000","","","","","12/01/2026 00:00:00","27/07/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","3947849-8U46-PUR","Trim Cov FES EL wPillow","FG","","","SO10006","16","","","TotalScheduledQty","1188.0000000000","","","","","02/03/2026 00:00:00","31/08/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","3947849-8V98-PUR","Trim Cov FES EL wPillow","FG","","","SO10006","19","","","TotalScheduledQty","2844.0000000000","","","","","05/01/2026 00:00:00","23/02/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","3947849-9K21-PUR","Trim Cov FES EL wPillow","FG","","","SO10006","20","","","TotalScheduledQty","8640.0000000000","","","","","12/12/2025 00:00:00","26/10/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","3947850-8U01-PUR","Trim Cover FES MAN BR223","FG","","","SO10006","21","","","TotalScheduledQty","432.0000000000","","","","","12/01/2026 00:00:00","23/02/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","3947850-8W51-PUR","Trim Cover FES MAN BR223","FG","","","SO10006","22","","","TotalScheduledQty","4680.0000000000","","","","","05/01/2026 00:00:00","30/03/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","3947850-9D88-PUR","Trim Cover FES MAN BR223","FG","","","SO10006","23","","","TotalScheduledQty","792.0000000000","","","","","12/12/2025 00:00:00","23/02/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","3947852-3F10-PUR","TRIM COV FES MAN WPILLOW","FG","","","SO10006","27","","","TotalScheduledQty","1620.0000000000","","","","","05/01/2026 00:00:00","23/02/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","3947852-7R12-PUR","TRIM COV FES MAN WPILLOW","FG","","","SO10006","29","","","TotalScheduledQty","576.0000000000","","","","","02/02/2026 00:00:00","23/02/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","3947852-7S15-PUR","TRIM COV FES MAN WPILLOW","FG","","","SO10006","175","","","TotalScheduledQty","3162.0000000000","","","","","12/01/2026 00:00:00","27/07/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","3947852-8AN0-PUR","TRIM COV FES MAN WPILLOW","FG","","","SO10006","176","","","TotalScheduledQty","80413.0000000000","","","","","19/01/2026 00:00:00","31/05/2027 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","3947852-8U46-PUR","TRIM COV FES MAN WPILLOW","FG","","","SO10006","30","","","TotalScheduledQty","13824.0000000000","","","","","12/12/2025 00:00:00","27/07/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","3947852-8V98-PUR","TRIM COV FES MAN WPILLOW","FG","","","SO10006","33","","","TotalScheduledQty","20616.0000000000","","","","","12/12/2025 00:00:00","30/03/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","3947852-9K21-PUR","TRIM COV FES MAN WPILLOW","FG","","","SO10006","34","","","TotalScheduledQty","13572.0000000000","","","","","12/12/2025 00:00:00","27/07/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","3947853-8U01-PUR","RHR CTR LEATHER LUGANO A","FG","","","SO10006","35","","","TotalScheduledQty","1080.0000000000","","","","","05/01/2026 00:00:00","23/02/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","3947853-8W51-PUR","RHR CTR LEATHER LUGANO A","FG","","","SO10006","36","","","TotalScheduledQty","12280.0000000000","","","","","05/01/2026 00:00:00","23/02/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","3947853-9D88-PUR","RHR CTR LEATHER LUGANO A","FG","","","SO10006","37","","","TotalScheduledQty","2000.0000000000","","","","","12/12/2025 00:00:00","23/02/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","3947854-1C92-PUR","Trim Cov FSS Center BR","FG","","","SO10006","38","","","TotalScheduledQty","320.0000000000","","","","","04/05/2026 00:00:00","27/07/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","3947854-3F10-PUR","Trim Cov FSS Center BR","FG","","","SO10006","40","","","TotalScheduledQty","2200.0000000000","","","","","05/01/2026 00:00:00","23/02/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","3947854-7R12-PUR","Trim Cov FSS Center BR","FG","","","SO10006","42","","","TotalScheduledQty","80.0000000000","","","","","05/01/2026 00:00:00","05/01/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","3947854-7S15-PUR","TRIM COV FSS CTR","FG","","","SO10006","185","","","TotalScheduledQty","974.0000000000","","","","","02/03/2026 00:00:00","26/04/2027 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","3947854-8AN0-PUR","TRIM COV FSS CTR","FG","","","SO10006","186","","","TotalScheduledQty","53529.0000000000","","","","","12/12/2025 00:00:00","31/05/2027 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","3947854-8U46-PUR","Trim Cov FSS Center BR","FG","","","SO10006","43","","","TotalScheduledQty","119096.0000000000","","","","","12/12/2025 00:00:00","26/04/2027 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","3947854-8V98-PUR","Trim Cov FSS Center BR","FG","","","SO10006","46","","","TotalScheduledQty","12960.0000000000","","","","","12/12/2025 00:00:00","23/02/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","3947854-9K21-PUR","Trim Cov FSS Center BR","FG","","","SO10006","47","","","TotalScheduledQty","140680.0000000000","","","","","12/12/2025 00:00:00","26/04/2027 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","4039939-30","TA.MAN VEL FB LUX BE LH","FG","","","SO10029","25","","","TotalScheduledQty","22.0000000000","","","","","13/04/2026 00:00:00","12/10/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","4039959-30","FB LUX VENT LH FLAT WOVE","FG","","","SO10029","35","","","TotalScheduledQty","1631.0000000000","","","","","22/12/2025 00:00:00","10/08/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","4039975-30","TA.MAN VEL FB LOWER FOLD","FG","","","SO10029","143","","","TotalScheduledQty","126882.0000000000","","","","","16/12/2025 00:00:00","16/11/2026 00:00:00","Create PO line or deactivate schedule"
"ISSUE","ORPHANED_SCHEDULE","2798","4040959-30","TA.MAN VEL FB CENTER","FG","","","SO10029","45","","","TotalScheduledQty","12348.0000000000","","","","","29/12/2025 00:00:00","19/10/2026 00:00:00","Create PO line or deactivate schedule"
