"ReportType","AnomalyType","Site","ItemNumber","ItemDescription","ItemType","Supplier","SupplierName","ScheduleNumber","ScheduleLine","PONumber","POLine","Metric1Label","Metric1Value","Metric2Label","Metric2Value","Metric3Label","Metric3Value","EarliestDate","LatestDate","Action"
"ISSUE","STALE_RELEASE","2798","5998760","REAR COVER FIX FHR","RM","338424","RABUGINO SP. Z o.o.","","","55110931","4","ReleaseID","20251201-001","","","","","04/12/2025 00:00:00","04/12/2025 00:00:00","Clear release ID or reactivate PO line"
"ISSUE","STALE_RELEASE","2798","6094583","METAL SPRING ROHR","RM","338424","RABUGINO SP. Z o.o.","","","55110929","1","ReleaseID","20251201-001","","","","","04/12/2025 00:00:00","04/12/2025 00:00:00","Clear release ID or reactivate PO line"
"ISSUE","STALE_RELEASE","2798","6094591","FRONT PLATE ROHR SPEAKER","RM","338424","RABUGINO SP. Z o.o.","","","55110931","5","ReleaseID","20251201-001","","","","","04/12/2025 00:00:00","04/12/2025 00:00:00","Clear release ID or reactivate PO line"
"ISSUE","STALE_RELEASE","2798","6094594","SPEAKER CLOSING COV ROHR","RM","338424","RABUGINO SP. Z o.o.","","","55110931","6","ReleaseID","20251201-001","","","","","04/12/2025 00:00:00","04/12/2025 00:00:00","Clear release ID or reactivate PO line"
"ISSUE","STALE_RELEASE","2798","6094596","HOUSING ROHR SPEAKER","RM","338424","RABUGINO SP. Z o.o.","","","55110931","7","ReleaseID","20251201-001","","","","","04/12/2025 00:00:00","04/12/2025 00:00:00","Clear release ID or reactivate PO line"
"ISSUE","STALE_RELEASE","2798","6128224","CONSTANT FORCE SPRING","No BOM","370003","CGR Veynes","","","55103448","5","ReleaseID","20230616-001","","","","","25/06/2024 00:00:00","25/06/2024 00:00:00","Clear release ID or reactivate PO line"
"ISSUE","STALE_RELEASE","2798","6150076","OVERMOLDED FOAM SUB-ASM","RM","2189","ADIENT AUTOMOTIVE ROMANIA","","","55108844","2","ReleaseID","20250403-001","","","","","05/04/2025 00:00:00","05/04/2025 00:00:00","Clear release ID or reactivate PO line"
"ISSUE","STALE_RELEASE","2798","6150077","OVERMOLDED FOAM SUB-ASM","RM","2189","ADIENT AUTOMOTIVE ROMANIA","","","55108844","3","ReleaseID","20250403-001","","","","","05/04/2025 00:00:00","05/04/2025 00:00:00","Clear release ID or reactivate PO line"
"ISSUE","STALE_RELEASE","2798","6162933-20_M","LTH FHR 2WAY SPORT","RM","300197","Bader GmbH & Co. KG","","","55108997","1","ReleaseID","20250314-001","","","","","21/03/2025 00:00:00","21/03/2025 00:00:00","Clear release ID or reactivate PO line"
"ISSUE","STALE_RELEASE","2798","6162933-2S_M","LTH FHR 2WAY SPORT","RM","300197","Bader GmbH & Co. KG","","","55108997","10","ReleaseID","20250314-001","","","","","21/03/2025 00:00:00","21/03/2025 00:00:00","Clear release ID or reactivate PO line"
"ISSUE","STALE_RELEASE","2798","6162933-C03_M","LTH FHR 2WAY SPORT","RM","300197","Bader GmbH & Co. KG","","","55108997","2","ReleaseID","20250314-001","","","","","21/03/2025 00:00:00","21/03/2025 00:00:00","Clear release ID or reactivate PO line"
"ISSUE","STALE_RELEASE","2798","6383156-20_M","LTH RARM 230","No BOM","300197","Bader GmbH & Co. KG","","","55108997","3","ReleaseID","20250314-001","","","","","21/03/2025 00:00:00","21/03/2025 00:00:00","Clear release ID or reactivate PO line"
"ISSUE","STALE_RELEASE","2798","6383156-2S_M","LTH RARM 230","No BOM","300197","Bader GmbH & Co. KG","","","55108997","9","ReleaseID","20250314-001","","","","","21/03/2025 00:00:00","21/03/2025 00:00:00","Clear release ID or reactivate PO line"
"ISSUE","STALE_RELEASE","2798","6383156-C03_M","LTH RARM 230","No BOM","300197","Bader GmbH & Co. KG","","","55108997","4","ReleaseID","20250314-001","","","","","21/03/2025 00:00:00","21/03/2025 00:00:00","Clear release ID or reactivate PO line"
"ISSUE","STALE_RELEASE","2798","6383158-20_M","LTH RARM 280","RM","300197","Bader GmbH & Co. KG","","","55108997","5","ReleaseID","20250314-001","","","","","21/03/2025 00:00:00","21/03/2025 00:00:00","Clear release ID or reactivate PO line"
